id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
10988680,Mission,37.75418395,-122.4065138,$49.00 ,$300.00 ,,,$25.00 ,1,$0.00 
8053481,Mission,37.75416621,-122.4215336,$220.00 ,"$1,050.00 ",,"$1,000.00 ",$100.00 ,2,$15.00 
14011173,Mission,37.75850584,-122.4061523,$100.00 ,,,,,1,$0.00 
16142131,Mission,37.75654875,-122.4220251,$117.00 ,,,,,1,$0.00 
9080622,Mission,37.76005055,-122.4213524,$200.00 ,,,,,1,$0.00 
936209,Mission,37.75949488,-122.4248737,$162.00 ,,,,$65.00 ,1,$25.00 
7048973,Mission,37.76099687,-122.4131237,$230.00 ,"$1,400.00 ","$5,000.00 ",$400.00 ,$100.00 ,4,$0.00 
7998215,Mission,37.75054282,-122.4165585,$173.00 ,,,,$65.00 ,2,$35.00 
12815115,Mission,37.75628818,-122.4087377,$600.00 ,,,,,1,$0.00 
10406646,Mission,37.75724642,-122.4093147,$250.00 ,,"$4,500.00 ",$500.00 ,$95.00 ,4,$0.00 
4558566,Mission,37.74932935,-122.4107925,$300.00 ,"$1,900.00 ",,,$100.00 ,1,$0.00 
2771688,Mission,37.7513531,-122.4176588,$189.00 ,,,$150.00 ,$95.00 ,4,$0.00 
5020057,Mission,37.75199246,-122.4042105,$130.00 ,,,,,1,$0.00 
15151013,Mission,37.76142933,-122.4193501,$90.00 ,,,$150.00 ,$40.00 ,2,$25.00 
4925354,Mission,37.76652079,-122.4246601,$95.00 ,$550.00 ,,$250.00 ,$20.00 ,1,$20.00 
13863669,Mission,37.75995514,-122.4241064,$325.00 ,,,,$150.00 ,6,$50.00 
5394755,Mission,37.75870167,-122.42124,$119.00 ,$825.00 ,,,$60.00 ,2,$40.00 
8861480,Mission,37.76147949,-122.4157135,$134.00 ,,,,,1,$0.00 
14139656,Mission,37.75939066,-122.4211674,$490.00 ,,,$400.00 ,$150.00 ,4,$30.00 
7802522,Mission,37.74961782,-122.4181314,$140.00 ,$750.00 ,,,$25.00 ,1,$0.00 
15470227,Mission,37.75958581,-122.4100011,$185.00 ,,,$500.00 ,$95.00 ,2,$0.00 
10756717,Mission,37.75560551,-122.4067193,$550.00 ,,,"$1,500.00 ",$90.00 ,1,$0.00 
1117756,Mission,37.7505213,-122.4073568,$113.00 ,$708.00 ,"$2,499.00 ",,$25.00 ,1,$0.00 
17588923,Mission,37.76832743,-122.4250571,$115.00 ,,,,$82.00 ,1,$25.00 
7228772,Mission,37.76888719,-122.4240599,$155.00 ,"$1,000.00 ","$3,000.00 ",,$30.00 ,1,$0.00 
15501322,Mission,37.75134306,-122.4226501,$45.00 ,,,,$50.00 ,1,$0.00 
4624467,Mission,37.75506955,-122.4168171,$169.00 ,,,"$1,000.00 ",$60.00 ,2,$30.00 
856123,Mission,37.7622065,-122.4198954,$186.00 ,$928.00 ,"$3,276.00 ",,$65.00 ,1,$0.00 
9490490,Mission,37.753852,-122.4111577,$77.00 ,,,,$25.00 ,1,$0.00 
865873,Mission,37.76251893,-122.4242846,$250.00 ,"$1,000.00 ",,"$2,000.00 ",$150.00 ,1,$20.00 
6834158,Mission,37.76531007,-122.4246905,$235.00 ,"$1,950.00 ","$7,200.00 ",,$62.00 ,2,$20.00 
13846498,Mission,37.76362666,-122.4253853,$80.00 ,,,$100.00 ,$50.00 ,1,$10.00 
1101403,Mission,37.7681406,-122.4253676,$300.00 ,,,$600.00 ,$120.00 ,5,$0.00 
15566812,Mission,37.75866765,-122.42388,$200.00 ,,,,,1,$0.00 
16173016,Mission,37.76148205,-122.4092539,$200.00 ,,,$500.00 ,$100.00 ,2,$0.00 
63405,Mission,37.75399609,-122.4177063,$125.00 ,,"$2,500.00 ",$300.00 ,$100.00 ,1,$25.00 
16857004,Mission,37.75328433,-122.4118579,$40.00 ,,,,,1,$0.00 
11011745,Mission,37.75028261,-122.4156194,$500.00 ,,,,,1,$0.00 
17697262,Mission,37.75813182,-122.4141177,$79.00 ,,,$250.00 ,$10.00 ,1,$0.00 
13043340,Mission,37.75754497,-122.4201252,$115.00 ,,,,,1,$0.00 
2049672,Mission,37.76249605,-122.422603,$575.00 ,,,,$150.00 ,6,$0.00 
16272594,Mission,37.7580424,-122.4211011,$65.00 ,,,,,1,$0.00 
10947787,Mission,37.75788359,-122.4075305,"$2,000.00 ",,,,,1,$0.00 
15873936,Mission,37.75456441,-122.4125264,$51.00 ,,,,,1,$0.00 
11259062,Mission,37.75239754,-122.4244804,$159.00 ,,,$500.00 ,$90.00 ,1,$0.00 
7163038,Mission,37.76911001,-122.4119345,$120.00 ,,,,,1,$0.00 
4533440,Mission,37.76862344,-122.4244366,$100.00 ,$700.00 ,"$2,500.00 ",,$20.00 ,1,$50.00 
14011529,Mission,37.76066203,-122.4208268,$50.00 ,,,$95.00 ,$5.00 ,1,$0.00 
3379430,Mission,37.75826018,-122.4083304,$80.00 ,,,,,1,$0.00 
8029798,Mission,37.75596136,-122.4095302,$75.00 ,,,,,1,$0.00 
1623609,Mission,37.75942336,-122.4075424,$155.00 ,"$1,125.00 ",,,$50.00 ,2,$25.00 
16324639,Mission,37.75993231,-122.4213667,$250.00 ,,,,$75.00 ,1,$0.00 
17501306,Mission,37.77021195,-122.4228986,$55.00 ,,,,$20.00 ,1,$0.00 
591431,Mission,37.75065685,-122.4234918,$450.00 ,,,$397.00 ,$125.00 ,5,$30.00 
9351735,Mission,37.74944922,-122.4095556,$250.00 ,,,$500.00 ,$125.00 ,4,$20.00 
1962559,Mission,37.75375109,-122.4252011,$150.00 ,"$1,000.00 ",,,$50.00 ,1,$0.00 
6926901,Mission,37.75641542,-122.4128513,$300.00 ,"$2,200.00 ",,$500.00 ,$100.00 ,2,$15.00 
12366392,Mission,37.76772249,-122.422152,$170.00 ,,,,$50.00 ,1,$0.00 
5943416,Mission,37.75151485,-122.4245018,$190.00 ,"$1,200.00 ",,,$80.00 ,1,$0.00 
1339473,Mission,37.75440053,-122.412507,$230.00 ,"$1,400.00 ","$5,400.00 ",$500.00 ,$180.00 ,1,$0.00 
10940485,Mission,37.75309747,-122.4199679,$115.00 ,$465.00 ,,,,1,$0.00 
10792779,Mission,37.75780405,-122.4214434,$95.00 ,,,,$65.00 ,1,$25.00 
5414237,Mission,37.74970235,-122.4066375,$90.00 ,,,,$55.00 ,1,$0.00 
6954332,Mission,37.76645745,-122.4253543,$95.00 ,,,$250.00 ,$30.00 ,1,$10.00 
10809367,Mission,37.75089762,-122.4148136,$350.00 ,,,,$25.00 ,1,$0.00 
815123,Mission,37.75110865,-122.4187323,$130.00 ,$928.00 ,,,$75.00 ,1,$0.00 
1388523,Mission,37.75526258,-122.4249664,"$4,000.00 ",$975.00 ,,,$50.00 ,1,$0.00 
765914,Mission,37.75691789,-122.4111644,$349.00 ,,,"$1,000.00 ",$100.00 ,1,$50.00 
225205,Mission,37.76096715,-122.4231305,$115.00 ,,,,,1,$15.00 
6795192,Mission,37.75849371,-122.4157999,$170.00 ,"$1,300.00 ","$5,000.00 ","$2,000.00 ",$85.00 ,1,$0.00 
5775177,Mission,37.74825404,-122.4176816,$115.00 ,,,,$50.00 ,1,$50.00 
8907289,Mission,37.75267808,-122.4075329,$133.00 ,,,,$49.00 ,2,$50.00 
13953008,Mission,37.76455721,-122.4239801,$232.00 ,,,,$50.00 ,1,$0.00 
16232349,Mission,37.751588,-122.4187695,$100.00 ,,,,$20.00 ,1,$0.00 
8384398,Mission,37.75618418,-122.421447,$200.00 ,,,$200.00 ,$80.00 ,2,$80.00 
223213,Mission,37.7569887,-122.4085638,$450.00 ,,"$4,200.00 ",$300.00 ,$100.00 ,1,$0.00 
16363397,Mission,37.76313587,-122.4079654,$80.00 ,,,,$40.00 ,1,$0.00 
5468024,Mission,37.74907405,-122.4124016,$99.00 ,,,,$25.00 ,1,$0.00 
1356129,Mission,37.75083547,-122.4234114,$145.00 ,$825.00 ,"$2,950.00 ","$1,000.00 ",$50.00 ,2,$0.00 
10710892,Mission,37.75857822,-122.4222351,$215.00 ,,,$500.00 ,$65.00 ,1,$0.00 
16178751,Mission,37.75913346,-122.4196755,$185.00 ,,,$200.00 ,$80.00 ,1,$0.00 
15097007,Mission,37.75746793,-122.4125947,$350.00 ,,,,,1,$0.00 
16351934,Mission,37.76171887,-122.4234831,$175.00 ,,,,$40.00 ,1,$20.00 
8564563,Mission,37.76867194,-122.4178576,$165.00 ,"$1,077.00 ",,$250.00 ,$86.00 ,2,$0.00 
6852699,Mission,37.76379548,-122.425448,$149.00 ,,,$200.00 ,,2,$20.00 
6336315,Mission,37.77017333,-122.4215716,$240.00 ,,,$200.00 ,$100.00 ,2,$50.00 
2074584,Mission,37.76025251,-122.4166307,$206.00 ,"$1,300.00 ","$3,500.00 ",,$60.00 ,1,$0.00 
765739,Mission,37.75104087,-122.4186658,$575.00 ,,,$575.00 ,$150.00 ,10,$60.00 
9525911,Mission,37.76764528,-122.4239505,$120.00 ,,,,,1,$0.00 
11650390,Mission,37.75122694,-122.4183758,$74.00 ,,,$200.00 ,$30.00 ,1,$10.00 
14773204,Mission,37.76667538,-122.4170325,$105.00 ,,,,,1,$25.00 
5470034,Mission,37.76054446,-122.421676,$59.00 ,,,$100.00 ,$10.00 ,1,$5.00 
1814061,Mission,37.75110161,-122.4241432,$150.00 ,"$1,000.00 ","$4,250.00 ",$500.00 ,$100.00 ,1,$0.00 
2046807,Mission,37.76045876,-122.4190438,$149.00 ,,,,$50.00 ,1,$20.00 
486950,Mission,37.75311615,-122.4086315,$100.00 ,$700.00 ,"$3,000.00 ",,$150.00 ,1,$0.00 
592883,Mission,37.75731078,-122.4095373,$75.00 ,$700.00 ,"$1,932.00 ","$2,400.00 ",$85.00 ,2,$35.00 
9350676,Mission,37.75174324,-122.4162526,$299.00 ,,,,$190.00 ,1,$25.00 
1093088,Mission,37.76777714,-122.4243382,$68.00 ,$460.00 ,"$1,700.00 ",,$12.00 ,1,$0.00 
13725185,Mission,37.76121341,-122.4086907,$99.00 ,,,"$1,000.00 ",$50.00 ,2,$10.00 
2502127,Mission,37.75297177,-122.4128058,$211.00 ,"$1,500.00 ","$6,000.00 ",,$90.00 ,2,$35.00 
16231927,Mission,37.75833813,-122.4229128,$125.00 ,,,,,1,$0.00 
2043364,Mission,37.76040329,-122.415501,$85.00 ,,,$300.00 ,$75.00 ,1,$0.00 
2010572,Mission,37.75753955,-122.4106128,$97.00 ,,,,$25.00 ,1,$30.00 
176092,Mission,37.75271742,-122.4093401,$117.00 ,$725.00 ,"$2,300.00 ",$400.00 ,$60.00 ,2,$0.00 
5107706,Mission,37.76059363,-122.4185532,$500.00 ,,,,,1,$0.00 
