id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
10988680,Mission,37.75418395,-122.4065138,$49.00 ,$300.00 ,,,$25.00 ,1,$0.00 ,1,1125,13 months ago,,0,0,0,0,1,2/23/2016,2/23/2016,100,10,10,10,10,10,10,1,0.07
8053481,Mission,37.75416621,-122.4215336,$220.00 ,"$1,050.00 ",,"$1,000.00 ",$100.00 ,2,$15.00 ,3,30,4 days ago,,0,15,22,45,9,9/26/2015,7/27/2016,96,10,10,10,10,9,9,1,0.49
14011173,Mission,37.75850584,-122.4061523,$100.00 ,,,,,1,$0.00 ,7,1125,2 months ago,,0,0,0,0,2,8/20/2016,8/27/2016,90,10,8,10,10,8,9,3,0.27
16142131,Mission,37.75654875,-122.4220251,$117.00 ,,,,,1,$0.00 ,4,14,6 weeks ago,,0,0,0,0,2,11/30/2016,3/6/2017,100,10,10,10,10,10,8,1,0.48
9080622,Mission,37.76005055,-122.4213524,$200.00 ,,,,,1,$0.00 ,2,3,6 weeks ago,,0,0,0,0,0,,,,,,,,,,1,
936209,Mission,37.75949488,-122.4248737,$162.00 ,,,,$65.00 ,1,$25.00 ,2,12,7 weeks ago,,17,47,77,352,63,3/9/2013,2/19/2017,96,10,9,10,10,10,9,1,1.27
7048973,Mission,37.76099687,-122.4131237,$230.00 ,"$1,400.00 ","$5,000.00 ",$400.00 ,$100.00 ,4,$0.00 ,2,1125,a week ago,,4,7,7,231,7,8/19/2015,8/13/2016,89,9,9,9,9,9,9,1,0.35
7998215,Mission,37.75054282,-122.4165585,$173.00 ,,,,$65.00 ,2,$35.00 ,1,30,2 days ago,,6,36,57,332,50,8/26/2015,3/29/2017,100,10,10,10,10,10,10,2,2.56
12815115,Mission,37.75628818,-122.4087377,$600.00 ,,,,,1,$0.00 ,1,1125,11 months ago,,0,0,0,0,0,,,,,,,,,,2,
10406646,Mission,37.75724642,-122.4093147,$250.00 ,,"$4,500.00 ",$500.00 ,$95.00 ,4,$0.00 ,2,30,today,,8,11,15,15,41,1/15/2016,2/18/2017,92,10,10,10,10,9,9,3,2.77
4558566,Mission,37.74932935,-122.4107925,$300.00 ,"$1,900.00 ",,,$100.00 ,1,$0.00 ,3,1125,7 weeks ago,,0,2,17,128,23,12/24/2014,1/9/2017,93,10,9,10,10,9,10,2,0.83
2771688,Mission,37.7513531,-122.4176588,$189.00 ,,,$150.00 ,$95.00 ,4,$0.00 ,30,1125,6 weeks ago,,20,50,80,355,132,4/19/2014,3/19/2017,92,9,9,10,10,9,9,1,3.67
5020057,Mission,37.75199246,-122.4042105,$130.00 ,,,,,1,$0.00 ,2,1125,a week ago,,11,26,53,328,115,2/2/2015,3/18/2017,98,10,10,10,10,9,10,1,4.36
15151013,Mission,37.76142933,-122.4193501,$90.00 ,,,$150.00 ,$40.00 ,2,$25.00 ,2,1125,6 months ago,,0,0,0,0,0,,,,,,,,,,1,
4925354,Mission,37.76652079,-122.4246601,$95.00 ,$550.00 ,,$250.00 ,$20.00 ,1,$20.00 ,1,21,today,,6,8,8,220,66,7/6/2015,3/14/2017,94,9,9,10,10,10,9,4,3.11
13863669,Mission,37.75995514,-122.4241064,$325.00 ,,,,$150.00 ,6,$50.00 ,2,1125,today,,4,7,34,54,16,7/31/2016,11/19/2016,91,9,10,10,9,9,9,1,1.95
5394755,Mission,37.75870167,-122.42124,$119.00 ,$825.00 ,,,$60.00 ,2,$40.00 ,3,28,today,,12,36,44,302,65,9/12/2015,3/26/2017,95,10,10,10,10,10,10,3,3.43
8861480,Mission,37.76147949,-122.4157135,$134.00 ,,,,,1,$0.00 ,3,1125,4 months ago,,0,0,0,273,3,10/30/2015,8/1/2016,100,9,9,10,10,9,10,1,0.17
14139656,Mission,37.75939066,-122.4211674,$490.00 ,,,$400.00 ,$150.00 ,4,$30.00 ,2,28,yesterday,,8,11,21,43,10,7/27/2016,3/19/2017,100,10,10,10,10,10,10,2,1.2
7802522,Mission,37.74961782,-122.4181314,$140.00 ,$750.00 ,,,$25.00 ,1,$0.00 ,1,1125,6 months ago,,30,60,90,365,4,9/19/2015,10/20/2015,100,10,10,10,10,10,10,1,0.21
15470227,Mission,37.75958581,-122.4100011,$185.00 ,,,$500.00 ,$95.00 ,2,$0.00 ,2,1125,3 weeks ago,,0,1,30,30,7,11/4/2016,4/1/2017,94,10,9,10,10,10,10,1,1.4
10756717,Mission,37.75560551,-122.4067193,$550.00 ,,,"$1,500.00 ",$90.00 ,1,$0.00 ,3,1125,14 months ago,,0,0,0,0,0,,,,,,,,,,1,
1117756,Mission,37.7505213,-122.4073568,$113.00 ,$708.00 ,"$2,499.00 ",,$25.00 ,1,$0.00 ,2,1125,today,,7,19,37,286,293,5/20/2013,3/27/2017,97,10,10,10,10,9,10,1,6.22
17588923,Mission,37.76832743,-122.4250571,$115.00 ,,,,$82.00 ,1,$25.00 ,1,7,today,,24,54,83,83,0,,,,,,,,,,4,
7228772,Mission,37.76888719,-122.4240599,$155.00 ,"$1,000.00 ","$3,000.00 ",,$30.00 ,1,$0.00 ,1,1125,2 months ago,,0,0,0,0,12,7/13/2015,5/29/2016,96,10,10,10,10,10,10,1,0.57
15501322,Mission,37.75134306,-122.4226501,$45.00 ,,,,$50.00 ,1,$0.00 ,10,1125,5 months ago,,0,0,0,0,0,,,,,,,,,,1,
4624467,Mission,37.75506955,-122.4168171,$169.00 ,,,"$1,000.00 ",$60.00 ,2,$30.00 ,2,1125,4 weeks ago,,30,60,90,365,12,5/20/2015,11/18/2016,98,10,10,10,10,10,10,2,0.53
856123,Mission,37.7622065,-122.4198954,$186.00 ,$928.00 ,"$3,276.00 ",,$65.00 ,1,$0.00 ,28,180,a week ago,,0,0,1,90,29,8/31/2013,2/20/2017,100,10,10,10,10,10,10,2,0.66
9490490,Mission,37.753852,-122.4111577,$77.00 ,,,,$25.00 ,1,$0.00 ,1,1125,17 months ago,,0,0,0,0,3,11/20/2015,11/29/2015,100,9,10,10,9,9,10,1,0.18
865873,Mission,37.76251893,-122.4242846,$250.00 ,"$1,000.00 ",,"$2,000.00 ",$150.00 ,1,$20.00 ,5,1125,today,,9,39,68,68,10,7/3/2014,1/23/2017,98,10,9,10,10,10,10,3,0.3
6834158,Mission,37.76531007,-122.4246905,$235.00 ,"$1,950.00 ","$7,200.00 ",,$62.00 ,2,$20.00 ,1,1125,17 months ago,,0,0,0,0,10,6/23/2015,11/2/2015,96,10,9,10,10,10,9,1,0.46
13846498,Mission,37.76362666,-122.4253853,$80.00 ,,,$100.00 ,$50.00 ,1,$10.00 ,1,1125,8 months ago,,0,0,0,0,2,7/19/2016,8/1/2016,80,9,10,6,6,9,8,2,0.23
1101403,Mission,37.7681406,-122.4253676,$300.00 ,,,$600.00 ,$120.00 ,5,$0.00 ,2,1125,7 weeks ago,,0,0,0,0,22,8/10/2013,2/12/2017,100,10,10,10,10,10,10,2,0.5
15566812,Mission,37.75866765,-122.42388,$200.00 ,,,,,1,$0.00 ,7,1125,4 days ago,,2,2,3,19,1,11/17/2016,1/7/2017,100,10,10,10,10,10,10,1,0.22
16173016,Mission,37.76148205,-122.4092539,$200.00 ,,,$500.00 ,$100.00 ,2,$0.00 ,1,1125,yesterday,,8,33,63,250,4,1/18/2017,3/19/2017,95,10,10,10,10,9,9,1,1.6
63405,Mission,37.75399609,-122.4177063,$125.00 ,,"$2,500.00 ",$300.00 ,$100.00 ,1,$25.00 ,2,180,2 days ago,,10,29,52,322,138,4/4/2011,3/18/2017,93,9,9,10,10,10,9,5,1.89
16857004,Mission,37.75328433,-122.4118579,$40.00 ,,,,,1,$0.00 ,15,28,2 months ago,,0,0,0,0,0,,,,,,,,,,1,
11011745,Mission,37.75028261,-122.4156194,$500.00 ,,,,,1,$0.00 ,1,1125,14 months ago,,0,0,0,0,0,,,,,,,,,,2,
17697262,Mission,37.75813182,-122.4141177,$79.00 ,,,$250.00 ,$10.00 ,1,$0.00 ,1,1125,today,,0,0,0,0,3,3/17/2017,3/27/2017,100,10,10,10,10,10,9,5,3
13043340,Mission,37.75754497,-122.4201252,$115.00 ,,,,,1,$0.00 ,5,1125,a week ago,,0,0,0,0,5,5/22/2016,7/6/2016,96,10,10,10,10,10,10,1,0.47
2049672,Mission,37.76249605,-122.422603,$575.00 ,,,,$150.00 ,6,$0.00 ,4,30,2 days ago,,1,1,14,67,11,7/12/2014,2/20/2017,95,9,10,9,9,10,9,1,0.33
16272594,Mission,37.7580424,-122.4211011,$65.00 ,,,,,1,$0.00 ,2,35,3 months ago,,0,0,0,57,7,12/14/2016,1/13/2017,97,10,9,10,10,10,10,2,1.91
10947787,Mission,37.75788359,-122.4075305,"$2,000.00 ",,,,,1,$0.00 ,1,1125,7 months ago,,0,0,0,0,0,,,,,,,,,,1,
15873936,Mission,37.75456441,-122.4125264,$51.00 ,,,,,1,$0.00 ,9,14,5 months ago,,0,0,0,0,1,11/11/2016,11/11/2016,,,,,,,,1,0.21
11259062,Mission,37.75239754,-122.4244804,$159.00 ,,,$500.00 ,$90.00 ,1,$0.00 ,1,30,a week ago,,11,29,54,328,30,7/21/2016,3/31/2017,99,10,10,10,10,10,10,2,3.52
7163038,Mission,37.76911001,-122.4119345,$120.00 ,,,,,1,$0.00 ,1,1125,20 months ago,,0,0,0,0,1,7/7/2015,7/7/2015,,,,,,,,1,0.05
4533440,Mission,37.76862344,-122.4244366,$100.00 ,$700.00 ,"$2,500.00 ",,$20.00 ,1,$50.00 ,3,90,4 days ago,,1,31,45,300,72,1/28/2015,2/17/2017,98,10,10,10,10,10,10,2,2.71
14011529,Mission,37.76066203,-122.4208268,$50.00 ,,,$95.00 ,$5.00 ,1,$0.00 ,1,3,9 months ago,,0,0,0,0,1,7/16/2016,7/16/2016,,,,,,,,1,0.11
3379430,Mission,37.75826018,-122.4083304,$80.00 ,,,,,1,$0.00 ,1,1125,33 months ago,,0,0,0,0,1,7/22/2014,7/22/2014,100,10,6,10,10,10,8,4,0.03
8029798,Mission,37.75596136,-122.4095302,$75.00 ,,,,,1,$0.00 ,1,1125,18 months ago,,0,0,0,0,2,8/27/2015,10/13/2015,80,8,7,10,10,9,8,1,0.1
1623609,Mission,37.75942336,-122.4075424,$155.00 ,"$1,125.00 ",,,$50.00 ,2,$25.00 ,3,27,a week ago,,0,4,19,86,132,11/1/2013,1/23/2017,98,10,10,10,10,9,10,1,3.17
16324639,Mission,37.75993231,-122.4213667,$250.00 ,,,,$75.00 ,1,$0.00 ,3,14,3 days ago,,0,0,0,0,4,12/31/2016,3/25/2017,90,9,9,9,9,9,9,1,1.29
17501306,Mission,37.77021195,-122.4228986,$55.00 ,,,,$20.00 ,1,$0.00 ,1,10,2 weeks ago,,0,0,0,0,8,3/2/2017,3/21/2017,97,10,10,10,10,10,10,1,7.5
591431,Mission,37.75065685,-122.4234918,$450.00 ,,,$397.00 ,$125.00 ,5,$30.00 ,3,20,5 weeks ago,,0,0,17,26,9,4/17/2014,7/2/2016,83,8,8,10,9,10,9,2,0.25
9351735,Mission,37.74944922,-122.4095556,$250.00 ,,,$500.00 ,$125.00 ,4,$20.00 ,2,1125,4 months ago,,0,0,0,79,45,11/16/2015,9/18/2016,92,10,10,10,10,9,9,1,2.68
1962559,Mission,37.75375109,-122.4252011,$150.00 ,"$1,000.00 ",,,$50.00 ,1,$0.00 ,2,15,15 months ago,,0,0,0,0,1,12/30/2013,12/30/2013,100,10,10,8,10,10,10,1,0.03
6926901,Mission,37.75641542,-122.4128513,$300.00 ,"$2,200.00 ",,$500.00 ,$100.00 ,2,$15.00 ,2,7,today,,14,41,71,96,21,6/28/2015,2/23/2017,97,10,10,10,10,10,10,1,0.98
12366392,Mission,37.76772249,-122.422152,$170.00 ,,,,$50.00 ,1,$0.00 ,2,1125,2 months ago,,0,0,0,0,4,5/15/2016,1/26/2017,100,10,10,10,10,10,10,2,0.37
5943416,Mission,37.75151485,-122.4245018,$190.00 ,"$1,200.00 ",,,$80.00 ,1,$0.00 ,2,1125,3 months ago,,3,14,14,237,1,9/7/2015,9/7/2015,,,,,,,,1,0.05
1339473,Mission,37.75440053,-122.412507,$230.00 ,"$1,400.00 ","$5,400.00 ",$500.00 ,$180.00 ,1,$0.00 ,6,70,a week ago,,8,38,68,343,29,8/1/2014,2/14/2017,91,10,9,10,10,10,9,1,0.89
10940485,Mission,37.75309747,-122.4199679,$115.00 ,$465.00 ,,,,1,$0.00 ,1,1125,a week ago,,1,1,1,1,25,2/23/2016,12/14/2016,99,10,10,10,10,10,10,3,1.85
10792779,Mission,37.75780405,-122.4214434,$95.00 ,,,,$65.00 ,1,$25.00 ,3,1125,1 week ago,,0,3,15,15,6,3/1/2016,9/6/2016,93,10,9,10,10,10,9,2,0.45
5414237,Mission,37.74970235,-122.4066375,$90.00 ,,,,$55.00 ,1,$0.00 ,2,20,4 weeks ago,,1,31,61,336,31,5/20/2015,10/6/2016,95,10,9,10,10,9,9,4,1.36
6954332,Mission,37.76645745,-122.4253543,$95.00 ,,,$250.00 ,$30.00 ,1,$10.00 ,3,20,3 weeks ago,,9,16,16,228,11,10/3/2015,3/15/2017,95,9,10,10,10,10,10,4,0.6
10809367,Mission,37.75089762,-122.4148136,$350.00 ,,,,$25.00 ,1,$0.00 ,1,1125,6 weeks ago,,0,0,0,0,0,,,,,,,,,,1,
